"model","term","estimate","std.error","statistic","p.value"
"forward_base","(Intercept)",0.0356404461288448,0.0428593023333221,0.831568508784036,0.407361059931804
"forward_base","log(n)",-0.00410633745370778,0.00576195992739021,-0.712663313430518,0.477485210988979
"forward_base","nonlinear_energy",1.71789974890561,0.235935369811808,7.28123023807698,4.28077064359199e-11
"forward_base","log(n):nonlinear_energy",-0.123667482606597,0.0317189051687548,-3.89885722564023,0.000162326478149734
"forward_energy","(Intercept)",0.0131041808076008,0.0171243831634621,0.765235201905605,0.445712838772823
"forward_energy","log(n)",-0.000867599399525017,0.00230218422133369,-0.376859241534721,0.706978780395719
"forward_energy","energy2",2.8122576964714,0.112039177055896,25.1006636282983,2.95428475286189e-48
"forward_energy","energy3",1.18182328642779,0.111720134898693,10.578426954993,1.23409846279379e-18
"forward_energy","log(n):energy2",-0.290373271549648,0.0150624301691429,-19.2779829210103,1.13008480510897e-37
"forward_energy","log(n):energy3",-0.0269430543145361,0.0150195384741113,-1.79386699271599,0.0754852547861434
"forward_excess","(Intercept)",0.0237770814043589,0.0210973349077523,1.12701824701194,0.262101421173489
"forward_excess","log(n)",-0.00228601905514854,0.00283630371226757,-0.805985284742624,0.421929415266521
"forward_excess","energy2",2.7615607192937,0.137580337839282,20.0723501821873,3.19909686358967e-39
"forward_excess","energy3plus",1.00280341912302,0.126612826003533,7.92023565681284,1.72887718837279e-12
"forward_excess","log(n):energy2",-0.283807148744858,0.0184961571997036,-15.3441142222453,1.68924716905702e-29
"forward_excess","log(n):energy3plus",-0.0139428778189925,0.0170216963414915,-0.819123872219821,0.414424867417664
"forward_curve","(Intercept)",-0.0467129795041142,0.0467960896920572,-0.998223992891502,0.320284884000546
"forward_curve","log(n)",0.00565586511787815,0.00629121751602931,0.899009627861006,0.370542512631584
"forward_curve","curvature",1.03275274254968,0.296307762623381,3.48540562490208,0.000698476060671543
"forward_curve","nonlinear_energy",1.02769319885633,0.297755132965265,3.4514709742257,0.000782924039535574
"forward_curve","log(n):curvature",-0.122422854928527,0.0398353067236744,-3.07322485999009,0.00264949562246875
"forward_curve","log(n):nonlinear_energy",-0.0418501677101051,0.0400298896836388,-1.04547297134347,0.298016164933101
"inverse_base","(Intercept)",-0.0276052465615146,0.0245216520268129,-1.1257498691903,0.262595130798252
"inverse_base","log(n)",0.00466043771880495,0.00329666533610491,1.41368238618706,0.160133241155258
"inverse_base","inv_nonlinear_energy",2.54636006238896,0.134988782466589,18.8634938093408,3.87062713541484e-37
"inverse_base","log(n):inv_nonlinear_energy",-0.242514923920901,0.0181477511969429,-13.3633595308357,3.16176025418609e-25
"inverse_energy","(Intercept)",0.115658234719654,0.0654872144089164,1.76611932212384,0.080052709158924
"inverse_energy","log(n)",-0.0119639954527099,0.00880403283856581,-1.35892217488126,0.176853781361284
"inverse_energy","inv_energy2",0.599629557565234,0.615347397322532,0.974456965568249,0.331892900108131
"inverse_energy","inv_energy3",8.94648045922182,2.10196942743375,4.25623719472665,4.28703361201934e-05
"inverse_energy","log(n):inv_energy2",-0.0767749775081667,0.0827266626325757,-0.928056022870849,0.355339301529646
"inverse_energy","log(n):inv_energy3",-0.708726766930354,0.282586578644709,-2.50799868249024,0.0135489519878778
"inverse_excess","(Intercept)",-0.0208641619692256,0.0224912888199927,-0.927655241823192,0.355546324220718
"inverse_excess","log(n)",0.0043338370924871,0.00302370542311422,1.43328680742436,0.1545127695915
"inverse_excess","inv_energy2",2.2586679058854,0.232745474174129,9.7044546790868,1.35936131463599e-16
"inverse_excess","inv_energy3plus",2.59381796124943,0.12548720428866,20.6699796680691,2.30613336905168e-40
"inverse_excess","log(n):inv_energy2",-0.228576449004227,0.0312900589245037,-7.30508208871495,4.05399049198571e-11
"inverse_excess","log(n):inv_energy3plus",-0.24481422446807,0.0168703689315384,-14.5114920403668,1.15467365348353e-27
"inverse_curve","(Intercept)",0.00306082851491248,0.0240137325129317,0.12746158945779,0.898799635620932
"inverse_curve","log(n)",-0.00120733740764025,0.00322838116613494,-0.373976103040426,0.709116738873676
"inverse_curve","curvature",-0.384567768675059,0.152052348817317,-2.52918005980359,0.0127994853763471
"inverse_curve","inv_nonlinear_energy",2.80337336474249,0.152795076777407,18.3472754742384,8.14428527240497e-36
"inverse_curve","log(n):curvature",0.0735848060712094,0.0204417592693706,3.59972960749357,0.000472845488592364
"inverse_curve","log(n):inv_nonlinear_energy",-0.291692924658103,0.0205416108420748,-14.2000998315398,5.71686662204028e-27
