transform,strength,inv_c0,inv_energy0,inv_c1,inv_energy1,inv_c2,inv_energy2,inv_c3,inv_energy3,inv_c4,inv_energy4,inv_c5,inv_energy5,inv_c6,inv_energy6,inv_c7,inv_energy7,inv_c8,inv_energy8,inv_c9,inv_energy9,inv_c10,inv_energy10,inv_higher_order_energy,inv_weighted_higher_order_energy,inv_residual_degree1,inv_residual_degree2,inv_residual_degree3,inv_residual_degree5,inv_residual_degree8,inv_residual_degree10
cubic,0.1302579,3.7322688382892994e-18,1.3929830681265357e-35,0.9746794312835751,0.9499999937672735,-3.3608718477131985e-17,1.1295459576751129e-33,-0.16001038286427435,0.025603322624371663,-2.0342764993846145e-17,4.138280875948522e-34,0.08229950924221016,0.006773209221508636,-7.50981798756532e-18,5.639736620635964e-35,-0.0553804450194475,0.0030669936905520475,-2.476987876296291e-17,6.13546893931881e-34,0.04191217449453909,0.0017566303708606928,8.99493262061235e-18,8.090881284935617e-35,0.05000000623272649,0.14795464315226875,0.05000000623272649,0.05000000623272649,0.024396683608354786,0.017623474386846194,0.014556480696294116,0.012799850325433404
cubic,0.2299656,3.7322688382892994e-18,1.3929830681265357e-35,0.9486833915110922,0.9000001773289882,2.7085611735339056e-17,7.3363036307753675e-34,-0.19243810341215656,0.03703242364486786,5.2194130478277014e-18,2.7242272563834053e-35,0.10757010534677132,0.011571327564315479,4.618693098274828e-19,2.1332325936051533e-37,-0.07571379799354437,0.005732579206607243,1.0803232394359669e-17,1.1670983016654214e-34,0.058975183138048164,0.0034780722261663205,-5.813249540287457e-18,3.379387021765233e-35,0.09999982267101182,0.2403846132379286,0.09999982267101182,0.09999982267101182,0.0629673990261439,0.05139607146182845,0.04566349225522115,0.04218542002905479
cubic,0.3532381,3.7322688382892994e-18,1.3929830681265357e-35,0.9219544411282806,0.8499999915161602,4.55189357745728e-18,2.0719735140496832e-35,-0.20930172785835374,0.04380721328449237,8.071616346999774e-18,6.515099045315398e-35,0.12146243258096592,0.014753122528485691,2.0897938745274008e-19,4.3672384380122456e-38,-0.08717384981896245,0.00759928009225902,1.108455146358447e-17,1.2286728114885263e-34,0.06874207439626905,0.004725472792302188,-7.957896308913512e-18,6.33281136634193e-35,0.15000000848383976,0.3009114682724384,0.15000000848383976,0.15000000848383976,0.10619279519934743,0.09143967267086173,0.08384039257860276,0.07911491978630059
cubic,0.5265986,3.7322688382892994e-18,1.3929830681265357e-35,0.89442719526244,0.8000000076250349,-1.6720082594078927e-17,2.795611619528211e-34,-0.2186446038649254,0.04780546279925015,3.05722131129338e-17,9.346602146226412e-34,0.12976024648612564,0.01683772156814008,7.194081522673961e-18,5.175480895487889e-35,-0.09420210115673969,0.008874035862344616,2.448871125567011e-19,5.996969789635838e-38,0.07482004369647237,0.005598038938742034,-9.159649868783242e-18,8.389918571870087e-35,0.19999999237496513,0.3401055977235415,0.19999999237496513,0.19999999237496513,0.152194529575715,0.13535680800757488,0.1264827721452303,0.12088473320648829
cubic,1.3483315,3.7322688382892994e-18,1.3929830681265357e-35,0.8366600256984893,0.6999999986017967,-1.494114606220259e-17,2.232378456520719e-34,-0.22400079610566065,0.050176356655969756,-1.4309818321453277e-17,2.047709003929999e-34,0.13637424907198784,0.018597935809948576,4.362701876004177e-18,1.9033167658890367e-35,-0.10028578598592472,0.010057238870814694,8.737034677258583e-18,7.633577495161899e-35,0.08029468558864687,0.006447236533779655,2.045663760267658e-17,4.184740220072415e-34,0.30000000139820326,0.3719445499173719,0.30000000139820326,0.30000000139820326,0.2498236447422335,0.2312257089322849,0.22116847006147022,0.21472123352769057
quintic,0.0098076,3.7322688382892994e-18,1.3929830681265357e-35,0.9746795227373146,0.9500001720434395,1.4100474924363204e-17,1.988233930925955e-34,-0.10187404374987531,0.010378320789951509,-6.1949232939476366e-18,3.8377074617895034e-35,0.048827795514644855,0.0023841536148199722,-2.1776881700508442e-18,4.742325765979395e-36,-0.03116223738556472,0.0009710850388742876,-2.0127996992521297e-19,4.0513626293094636e-38,0.022485464419400154,0.0005055961101561103,2.7336070050907435e-18,7.472607258281184e-36,0.04999982795656055,0.05440369070747939,0.04999982795656055,0.04999982795656055,0.03962150716660906,0.03723735355178914,0.03626626851291481,0.03576067240275871
quintic,0.0152675,3.7322688382892994e-18,1.3929830681265357e-35,0.9486834877485796,0.9000003599268094,-1.813776748593042e-18,3.289786093736747e-36,-0.11890205118987889,0.014137697777160578,5.792866236315677e-18,3.355729923184616e-35,0.05891144280880314,0.003470558093814883,1.9768276465601963e-18,3.9078475442047245e-36,-0.03797897675083839,0.001442402675040723,-1.6888084193204707e-18,2.852073877167707e-36,0.027527238302817687,0.0007577488485801131,1.0070272111890246e-18,1.0141038040751445e-36,0.09999964007319062,0.07668244216306223,0.09999964007319062,0.09999964007319062,0.08586194229603006,0.08239138420221515,0.08094898152717445,0.08019123267859429
quintic,0.0204604,3.7322688382892994e-18,1.3929830681265357e-35,0.9219544936113104,0.8500000882900879,1.6096696759590243e-17,2.5910364657020303e-34,-0.1302882879509853,0.01697503797719886,-9.689234264890088e-18,9.388126063992017e-35,0.06546445671719588,0.004285595093277612,-7.471687853526868e-18,5.582611938054093e-35,-0.04238470279827748,0.001796463031298311,-6.341991639185828e-19,4.0220857951502945e-37,0.030778965210825262,0.0009473446994491917,-5.0239684499904714e-18,2.524025898649966e-35,0.14999991170991211,0.09345443291211553,0.14999991170991211,0.14999991170991211,0.1330248737327132,0.12873927863943557,0.12694281560813725,0.125995470908688
quintic,0.0258628,3.7322688382892994e-18,1.3929830681265357e-35,0.8944269985322898,0.7999996557034807,-5.893654596962821e-18,3.473516450830099e-35,-0.13833103630987012,0.019135475606562605,-3.0234070920038283e-18,9.140990443979045e-36,0.07011281329285754,0.004915806587839101,-4.23614937841089e-18,1.794496155621097e-35,-0.045514978320155754,0.0020716132514842483,5.807627609569011e-19,3.3728538451428263e-37,0.033091111358710824,0.0010950216509546006,-5.493339582720782e-19,3.017677977108693e-37,0.20000034429651925,0.10634194737786447,0.20000034429651925,0.20000034429651925,0.18086486868995666,0.17594906210211758,0.17387744885063328,0.17278242719967862
quintic,0.038476,3.7322688382892994e-18,1.3929830681265357e-35,0.8366748732586158,0.7000248435423208,-1.124002484838984e-17,1.2633815859242104e-34,-0.14759300340433043,0.021783694653910696,-3.4403836141469885e-19,1.1836239412491094e-37,0.07566144090010923,0.005724653639080722,-4.653744383077226e-18,2.165733678302283e-35,-0.04928730171372706,0.0024292381102199627,-7.999191743652273e-20,6.398706855171468e-39,0.035888933120873025,0.0012880155205544969,7.520033687029004e-19,5.655090665405103e-37,0.29997515645767925,0.12257115861366591,0.29997515645767925,0.29997515645767925,0.2781914618037685,0.2724668081646878,0.2700375700544678,0.26874955453391336
exp,0.3189425,3.7322688382892994e-18,1.3929830681265357e-35,0.9746794405900859,0.9500000119090029,0.2088252015057807,0.04360796478392992,0.07124226337173284,0.005075460090327347,0.030800024174569725,0.0009486414891540795,0.015497863509477003,0.00024018377335837884,0.008688048635511005,7.548218909300463e-05,0.005285385032923632,2.793529494625314e-05,0.003428964372601769,1.1757796668572243e-05,0.002343311963074919,5.491110956290031e-06,0.0016715481077771218,2.7940730766132762e-06,0.04999998809099715,0.10825765796415321,0.04999998809099715,0.006392023307067229,0.0013165632167398966,0.00012773795422749146,1.2562673519567191e-05,4.277489486725905e-06
