transform,strength,c0,energy0,c1,energy1,c2,energy2,c3,energy3,c4,energy4,c5,energy5,higher_order_energy,weighted_higher_order_energy
cubic,0.1302579,0.0,0.0,0.9746794312835749,0.9499999937672731,0.0,0.0,0.22360681168676233,0.05000000623271919,1.1331166295920988e-17,1.2839532962581576e-34,1.2972676148241317e-15,1.6829032644714915e-30,0.05000000623271919,0.15000001869815757
cubic,0.2299656,0.0,0.0,0.9486833915110922,0.9000001773289882,-7.850462293418875e-17,6.1629758220391534e-33,0.3162274856349542,0.09999982267100514,0.0,0.0,1.3378072277873858e-15,1.7897281787201704e-30,0.09999982267100514,0.2999994680130154
cubic,0.3532381,2.7755575615628914e-17,7.703719777548943e-34,0.9219544411282803,0.8499999915161597,0.0,0.0,0.38729834557332365,0.15000000848383363,0.0,0.0,1.3884817439914535e-15,1.9278815533975482e-30,0.15000000848383363,0.45000002545150086
cubic,0.5265986,-2.7755575615628914e-17,7.703719777548943e-34,0.89442719526244,0.8000000076250349,0.0,0.0,0.4472135869749029,0.19999999237495902,0.0,0.0,1.4188864537138941e-15,2.0132387685327907e-30,0.19999999237495902,0.5999999771248771
cubic,1.3483315,-2.7755575615628914e-17,7.703719777548943e-34,0.8366600256984894,0.699999998601797,-7.850462293418875e-17,6.1629758220391534e-33,0.5477225587815404,0.300000001398198,0.0,0.0,1.5202354861220295e-15,2.3111159332646834e-30,0.300000001398198,0.9000000041945939
quintic,0.0098076,0.0,0.0,0.974679522737315,0.95000017204344,0.0,0.0,0.2041237940494135,0.041666523297127375,-5.665583147960494e-18,3.209883240645394e-35,0.09128693586393107,0.008333304659425464,0.04999982795655284,0.16666609318850945
quintic,0.0152675,0.0,0.0,0.9486834877485795,0.9000003599268092,-7.850462293418875e-17,6.1629758220391534e-33,0.28867461508473574,0.08333303339432034,0.0,0.0,0.12909921254161097,0.016666606678864042,0.09999964007318438,0.3333321335772812
quintic,0.0204604,0.0,0.0,0.9219544936113105,0.8500000882900881,0.0,0.0,0.35355328654238494,0.12499992642492175,0.0,0.0,0.1581138364754466,0.02499998528498427,0.149999911709906,0.4999997056996866
quintic,0.0258628,0.0,0.0,0.8944269985322899,0.799999655703481,0.0,0.0,0.4082486418598697,0.16666695358042816,0.0,0.0,0.18257434298412664,0.033333390716085515,0.20000034429651367,0.6666678143217121
quintic,0.038476,-8.326672684688674e-17,6.933347799794049e-33,0.8366748732586159,0.700024843542321,0.0,0.0,0.49997929661943186,0.24997929704806182,-2.2662332591841976e-17,5.13581318503263e-34,0.2235975389167157,0.04999585940961219,0.29997515645767403,0.9999171881922464
exp,0.3189425,-5.551115123125783e-17,3.0814879110195774e-33,0.9746794405900857,0.9500000119090024,0.21981594983346173,0.048319051801186966,0.04047724713004634,0.001638407535226845,0.006454957196387056,4.166647240718904e-05,0.0009207055448792095,8.476987003713221e-07,0.049999973507521375,0.10172423059118507
exp,0.4551335,-1.1102230246251565e-16,1.232595164407831e-32,0.9486832980804425,0.9000000000567857,0.305312833460854,0.09321592627589519,0.08022749556810133,0.006436451045129718,0.018257110427071736,0.0003333220811462915,0.0037160867434150075,1.3809300684584756e-05,0.09999950870285577,0.2071435405151876
exp,0.5627497,-8.326672684688674e-17,6.933347799794049e-33,0.9219544552730923,0.8500000175979043,0.3668679235744188,0.13459207334780557,0.11919674239863179,0.014207863398445784,0.03353896551290311,0.0011248622076757045,0.00844072853357637,7.12458981775303e-05,0.1499960448521046,0.31666341521253893
exp,0.6563857,-1.6653345369377348e-16,2.7733391199176196e-32,0.8944271964199224,0.8000000096956025,0.4151347696284127,0.1723368769544353,0.157321324043233,0.024749998998715925,0.05163173370352152,0.00266583592523136,0.015156217078469847,0.00022971091612970104,0.19998242279451228,0.4307356491865923
exp,0.8218707,-1.1102230246251565e-16,1.232595164407831e-32,0.836660060347881,0.7000000565813198,0.48622528291010053,0.2364150257410073,0.23071743154228064,0.05323053321746695,0.0948099484819274,0.008988926331145728,0.034847562556185804,0.001214352616107283,0.2998488379057273,0.6745491195395348
quad,0.165928,-1.1102230246251565e-16,1.232595164407831e-32,0.9746794536460599,0.9500000373597818,0.2225876625824071,0.049545267533899505,0.021323580991724385,0.0004546951063106295,-6.798699777552592e-17,4.622231866529367e-33,9.526809046364718e-16,9.076009060589663e-31,0.04999996264021014,0.10045462038673089
quad,0.2476384,-8.326672684688674e-17,6.933347799794049e-33,0.9486832948526808,0.8999999939325385,0.3130443986377073,0.09799679551844379,0.04475724018535995,0.00200321054901,-1.3597399555105185e-16,1.8488927466117467e-32,9.628158078772853e-16,9.270142798983895e-31,0.10000000606745378,0.20200322268391757
quad,0.322379,-8.326672684688674e-17,6.933347799794049e-33,0.9219544626202193,0.8500000311453373,0.3807591749714043,0.1449775493249045,0.07086903082271603,0.005022419529751075,-1.5863632814289383e-16,2.5165484606659885e-32,9.577483562568786e-16,9.172819139127529e-31,0.14999996885465558,0.30502235723906224
quad,0.3994894,-1.6653345369377348e-16,2.7733391199176196e-32,0.8944271968716794,0.8000000105037299,0.4357728070860722,0.1898979393956751,0.10050895532532483,0.010102050100588143,-2.606168248061827e-16,6.792112937205653e-32,9.729507111180987e-16,9.46633086265214e-31,0.19999998949626324,0.4101020290931146
quad,0.5912237,-1.942890293094024e-16,3.774822690998982e-32,0.8366600167518082,0.699999983631136,0.5183562366315081,0.26869318805478004,0.17693735703372016,0.03130682831407816,-2.1529215962249875e-16,4.635071399491948e-32,1.013490324081353e-15,1.0271626370065257e-30,0.3000000163688582,0.6313068610517946
